bing	5	Bad
bing	29	Bad
bing	52	Perfect
bing	80	Bad
bing	98	Fair
bing	276	Bad
bing	343	Fair
bing	344	Excellent
bing	354	Excellent
bing	637	Good
bing	654	Good
data mining	13	Fair
data mining	16	Fair
data mining	17	Bad
data mining	24	Fair
data mining	31	Fair
data mining	37	Good
data mining	38	Good
data mining	39	Good
data mining	40	Good
data mining	48	Good
data mining	63	Fair
data mining	64	Fair
data mining	69	Fair
data mining	70	Good
data mining	87	Fair
data mining	88	Good
data mining	89	Good
data mining	93	Good
data mining	111	Good
data mining	118	Fair
data mining	121	Good
data mining	122	Good
data mining	132	Fair
data mining	136	Fair
data mining	137	Good
data mining	138	Good
data mining	139	Good
data mining	140	Good
data mining	141	Good
data mining	142	Good
data mining	143	Good
data mining	144	Fair
data mining	146	Fair
data mining	147	Good
data mining	148	Good
data mining	149	Good
data mining	150	Good
data mining	151	Good
data mining	152	Excellent
data mining	153	Good
data mining	154	Good
data mining	155	Good
data mining	156	Good
data mining	157	Fair
data mining	158	Fair
data mining	159	Good
data mining	160	Good
data mining	161	Good
data mining	162	Good
data mining	163	Good
data mining	164	Good
data mining	168	Fair
data mining	169	Fair
data mining	183	Fair
data mining	184	Good
data mining	185	Bad
data mining	186	Bad
data mining	205	Fair
data mining	206	Bad
data mining	213	Good
data mining	215	Fair
data mining	216	Fair
data mining	220	Fair
data mining	275	Good
data mining	276	Good
data mining	283	Good
data mining	284	Good
data mining	285	Good
data mining	286	Bad
data mining	287	Fair
data mining	288	Fair
data mining	289	Fair
data mining	303	Good
data mining	314	Good
data mining	321	Good
data mining	328	Good
data mining	370	Fair
data mining	376	Good
data mining	377	Good
data mining	411	Good
data mining	424	Good
data mining	433	Good
data mining	454	Good
data mining	481	Good
data mining	487	Good
data mining	527	Good
data mining	545	Good
data mining	578	Good
data mining	590	Good
data mining	623	Fair
data mining	631	Good
data mining	637	Fair
google	5	Bad
google	29	Bad
google	80	Bad
google	92	Bad
google	98	Fair
google	172	Bad
google	201	Bad
google	223	Bad
google	230	Bad
google	246	Bad
google	247	Perfect
google	248	Good
google	249	Good
google	250	Excellent
google	251	Fair
google	276	Bad
google	343	Fair
google	344	Bad
google	637	Good
salsa	433	Bad
web search	0	Bad
web search	1	Good
web search	2	Bad
web search	3	Bad
web search	4	Fair
web search	5	Good
web search	6	Bad
web search	8	Fair
web search	10	Good
web search	11	Bad
web search	12	Bad
web search	13	Bad
web search	14	Bad
web search	15	Bad
web search	16	Bad
web search	17	Bad
web search	18	Good
web search	19	Good
web search	21	Good
web search	23	Bad
web search	24	Bad
web search	25	Good
web search	29	Good
web search	34	Excellent
web search	35	Good
web search	52	Excellent
web search	80	Good
web search	92	Good
web search	98	Good
web search	122	Fair
web search	126	Fair
web search	128	Bad
web search	152	Good
web search	153	Bad
web search	154	Bad
web search	186	Good
web search	206	Fair
web search	235	Fair
web search	247	Excellent
web search	276	Excellent
web search	288	Good
web search	289	Good
web search	305	Good
web search	343	Good
web search	356	Good
web search	371	Good
web search	399	Good
web search	469	Good
web search	483	Good
web search	504	Good
web search	511	Good
web search	512	Fair
web search	513	Good
web search	514	Good
web search	515	Excellent
web search	516	Good
web search	517	Excellent
web search	518	Excellent
web search	519	Excellent
web search	520	Excellent
web search	521	Good
web search	525	Good
web search	538	Bad
web search	545	Good
web search	576	Good
web search	609	Good
web search	613	Fair
web search	622	Good
web search	623	Good
web search	624	Fair
web search	625	Excellent
web search	626	Excellent
web search	627	Good
web search	628	Good
web search	629	Bad
web search	630	Excellent
web search	631	Good
web search	632	Good
web search	633	Good
web search	634	Good
web search	635	Fair
web search	636	Good
web search	637	Excellent
web search	638	Good
web search	653	Good
web search	654	Good
web search	655	Good
web search	657	Good
